,timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,Range,App_name
0,3435459972129,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,0,0,8188,353,7835,210,405,210,-1,3.361,-1,-1,-1,-1,2,Lenet5
1,3435581328697,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,0,0,8188,353,7835,210,405,210,-1,3.361,-1,-1,-1,-1,2,Lenet5
2,3436464999020,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,0,0,8188,353,7835,210,405,210,-1,3.347,-1,-1,-1,-1,2,Lenet5
3,3436583216731,0,NVIDIA GeForce RTX 4060 Laptop GPU,50,0,0,8188,353,7835,210,405,210,-1,3.347,-1,-1,-1,-1,2,Lenet5
4,3437466950613,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,0,0,8188,467,7721,1470,7000,1470,-1,4.046,-1,-1,-1,-1,2,Lenet5
5,3437585587079,0,NVIDIA GeForce RTX 4060 Laptop GPU,51,0,0,8188,475,7713,1560,7000,1560,-1,4.615,-1,-1,-1,-1,2,Lenet5
6,3438469059998,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,3,0,8188,531,7657,2025,5500,2025,-1,13.719,-1,-1,-1,-1,2,Lenet5
7,3438590013378,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,5,1,8188,531,7657,2025,5500,2025,-1,14.145,-1,-1,-1,-1,2,Lenet5
8,3439470733572,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,563,7625,2025,7000,2025,-1,15.562,-1,-1,-1,-1,2,Lenet5
9,3439591917690,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,7,2,8188,531,7657,2025,7000,2025,-1,15.969,-1,-1,-1,-1,2,Lenet5
10,3440473564390,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,7,3,8188,531,7657,2025,5500,2025,-1,15.761,-1,-1,-1,-1,2,Lenet5
11,3440594066947,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,8,3,8188,563,7625,2025,7000,2025,-1,15.636,-1,-1,-1,-1,2,Lenet5
12,3441475134463,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,8,3,8188,531,7657,2025,5500,2025,-1,15.989,-1,-1,-1,-1,2,Lenet5
13,3441597622272,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,531,7657,2025,5500,2025,-1,15.964,-1,-1,-1,-1,2,Lenet5
14,3442477815040,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,8,3,8188,533,7655,2025,7000,2025,-1,15.863,-1,-1,-1,-1,2,Lenet5
15,3442601434843,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,533,7655,2025,5500,2025,-1,15.898,-1,-1,-1,-1,2,Lenet5
16,3443479932639,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,7,3,8188,565,7623,2025,7000,2025,-1,15.523,-1,-1,-1,-1,2,Lenet5
17,3443606060466,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,8,3,8188,533,7655,2025,7000,2025,-1,15.562,-1,-1,-1,-1,2,Lenet5
18,3444481567176,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,3,8188,533,7655,2025,5500,2025,-1,16.038,-1,-1,-1,-1,2,Lenet5
19,3444608017822,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,3,8188,533,7655,2025,5500,2025,-1,15.6,-1,-1,-1,-1,2,Lenet5
20,3445484018603,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,533,7655,2025,5500,2025,-1,15.928,-1,-1,-1,-1,2,Lenet5
21,3445611906689,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,533,7655,2025,5500,2025,-1,15.871,-1,-1,-1,-1,2,Lenet5
22,3446489498668,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,565,7623,2025,7000,2025,-1,15.494,-1,-1,-1,-1,2,Lenet5
23,3446621718019,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,533,7655,2025,7000,2025,-1,15.608,-1,-1,-1,-1,2,Lenet5
24,3447491679303,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,533,7655,2025,5500,2025,-1,15.79,-1,-1,-1,-1,2,Lenet5
25,3447623823166,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,565,7623,2025,7000,2025,-1,15.659,-1,-1,-1,-1,2,Lenet5
26,3448493290274,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,8,3,8188,533,7655,2025,5500,2025,-1,16.064,-1,-1,-1,-1,2,Lenet5
27,3448625490684,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,533,7655,2025,5500,2025,-1,16.042,-1,-1,-1,-1,2,Lenet5
28,3449494875553,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,7,2,8188,533,7655,2025,7000,2025,-1,15.81,-1,-1,-1,-1,2,Lenet5
29,3449630295811,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,533,7655,2025,5500,2025,-1,15.906,-1,-1,-1,-1,2,Lenet5
30,3450499255356,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,6,2,8188,533,7655,2025,7000,2025,-1,15.552,-1,-1,-1,-1,2,Lenet5
