Target_memory,Target_time,Neural_Network,Dataset,Batch_size,Occupied_memory,Memory_epsilon,One_iteration_inference_time,Iterations
30%,3600s,LeNet5,MNIST,32,146.0MB,2204.5MB,0.6341972351074219s,5676
40%,3600s,mnasnet0_5,CIFAR10,32,152.0MB,2982.0MB,1.3051464557647705s,2758
40%,3600s,mobilenet_v2,CIFAR10,32,192.0MB,2942.0MB,1.5414502620697021s,2335
40%,3600s,resnet18,CIFAR10,32,214.0MB,2920.0MB,1.3055450916290283s,2757
40%,3600s,LeNet5,MNIST,32,146.0MB,2988.0MB,0.6258406639099121s,5752
45%,3600s,mnasnet0_5,CIFAR10,32,152.0MB,3373.75MB,1.2745170593261719s,2824
45%,3600s,mobilenet_v2,CIFAR10,32,192.0MB,3333.75MB,1.4894187450408936s,2417
45%,3600s,resnet18,CIFAR10,32,214.0MB,3311.75MB,1.3541324138641357s,2658
45%,3600s,LeNet5,MNIST,32,146.0MB,3379.75MB,0.5308222770690918s,6781
50%,3600s,mnasnet0_5,CIFAR10,32,152.0MB,3765.5MB,1.2412431240081787s,2900
50%,3600s,mobilenet_v2,CIFAR10,32,192.0MB,3725.5MB,1.5508108139038086s,2321
50%,3600s,resnet18,CIFAR10,32,214.0MB,3703.5MB,1.3321967124938965s,2702
50%,3600s,LeNet5,MNIST,32,146.0MB,3771.5MB,0.5895957946777344s,6105
60%,3600s,mnasnet0_5,CIFAR10,32,152.0MB,4549.0MB,1.2355120182037354s,2913
60%,3600s,mobilenet_v2,CIFAR10,32,192.0MB,4509.0MB,1.6547691822052002s,2175
60%,3600s,resnet18,CIFAR10,32,214.0MB,4487.0MB,1.3504183292388916s,2665
60%,3600s,LeNet5,MNIST,32,146.0MB,4555.0MB,0.6047554016113281s,5952
70%,3600s,mnasnet0_5,CIFAR10,32,152.0MB,5332.5MB,1.2779629230499268s,2816
70%,3600s,mobilenet_v2,CIFAR10,32,192.0MB,5292.5MB,1.6249620914459229s,2215
70%,3600s,resnet18,CIFAR10,32,214.0MB,5270.5MB,1.3814351558685303s,2605
70%,3600s,LeNet5,MNIST,32,146.0MB,5338.5MB,0.6860907077789307s,5247
80%,3600s,mnasnet0_5,CIFAR10,32,152.0MB,6116.0MB,1.295973539352417s,2777
80%,3600s,mobilenet_v2,CIFAR10,32,192.0MB,6076.0MB,1.5955421924591064s,2256
80%,3600s,resnet18,CIFAR10,32,214.0MB,6054.0MB,1.343909502029419s,2678
80%,3600s,LeNet5,MNIST,32,146.0MB,6122.0MB,0.6128098964691162s,5874
90%,3600s,mnasnet0_5,CIFAR10,32,152.0MB,6899.5MB,1.3303310871124268s,2706
90%,3600s,mobilenet_v2,CIFAR10,32,192.0MB,6859.5MB,1.591132402420044s,2262
90%,3600s,resnet18,CIFAR10,32,214.0MB,6837.5MB,1.2558040618896484s,2866
90%,3600s,LeNet5,MNIST,32,146.0MB,6905.5MB,0.6930148601531982s,5194
95%,3600s,mnasnet0_5,CIFAR10,32,152.0MB,7291.25MB,1.2907800674438477s,2789
95%,3600s,mobilenet_v2,CIFAR10,32,192.0MB,7251.25MB,1.517411708831787s,2372
95%,3600s,resnet18,CIFAR10,32,214.0MB,7229.25MB,1.4555702209472656s,2473
95%,3600s,LeNet5,MNIST,32,146.0MB,7297.25MB,0.5890958309173584s,6111
10%,3600s,mnasnet0_5,CIFAR10,64,172.0MB,611.5MB,0.9727811813354492s,3700
10%,3600s,mobilenet_v2,CIFAR10,64,224.0MB,559.5MB,1.3255321979522705s,2715
10%,3600s,resnet18,CIFAR10,64,226.0MB,557.5MB,1.119265079498291s,3216
10%,3600s,LeNet5,MNIST,64,148.0MB,635.5MB,0.4534420967102051s,7939
20%,3600s,mnasnet0_5,CIFAR10,64,172.0MB,1395.0MB,1.0808260440826416s,3330
