timestamp_ns,gpu_index,name,temperature_C,util_gpu_percent,util_mem_percent,mem_total_MB,mem_used_MB,mem_free_MB,clock_sm_MHz,clock_mem_MHz,clock_graphics_MHz,fan_speed_percent,power_draw_W,ecc_volatile_corrected,ecc_volatile_uncorrected,ecc_aggregate_corrected,ecc_aggregate_uncorrected,total_energy_mJ
2025-05-19 22:40:53.417,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,99,13,8188,7933,255,1995,5500,1995,-1,34.497,-1,-1,-1,-1,71541005
2025-05-19 22:40:54.421,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,2,8188,7933,255,1935,5500,1935,-1,35.179,-1,-1,-1,-1,71670324
2025-05-19 22:40:55.427,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,99,28,8188,7933,255,1395,7000,1395,-1,32.967,-1,-1,-1,-1,71769465
2025-05-19 22:40:56.432,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,98,20,8188,7933,255,1410,5500,1410,-1,35.219,-1,-1,-1,-1,71853497
2025-05-19 22:40:57.435,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,99,7,8188,7933,255,1980,5500,1980,-1,34.557,-1,-1,-1,-1,71951686
2025-05-19 22:40:58.439,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,100,2,8188,7933,255,1965,5500,1965,-1,35.216,-1,-1,-1,-1,72064258
2025-05-19 22:40:59.445,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,98,32,8188,7933,255,1470,5500,1470,-1,31.852,-1,-1,-1,-1,72152321
2025-05-19 22:41:00.449,0,NVIDIA GeForce RTX 4060 Laptop GPU,53,99,20,8188,7933,255,1440,5500,1440,-1,35.561,-1,-1,-1,-1,72228128
2025-05-19 22:41:01.453,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,99,3,8188,7933,255,1980,5500,1980,-1,34.553,-1,-1,-1,-1,72317381
2025-05-19 22:41:02.456,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,2,8188,7933,255,1965,5500,1965,-1,35.119,-1,-1,-1,-1,72420191
2025-05-19 22:41:03.459,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,97,29,8188,7933,255,1380,7000,1380,-1,33.977,-1,-1,-1,-1,72533928
2025-05-19 22:41:04.464,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,99,20,8188,7933,255,1455,5500,1455,-1,34.863,-1,-1,-1,-1,72623104
2025-05-19 22:41:05.468,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,3,8188,7933,255,1980,5500,1980,-1,34.718,-1,-1,-1,-1,72726200
2025-05-19 22:41:06.472,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,100,2,8188,7933,255,1950,5500,1950,-1,35.19,-1,-1,-1,-1,72803827
2025-05-19 22:41:07.475,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,98,23,8188,7933,255,1485,5500,1485,-1,31.835,-1,-1,-1,-1,72882236
2025-05-19 22:41:08.501,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,98,20,8188,7933,255,1440,5500,1440,-1,35.255,-1,-1,-1,-1,72975872
2025-05-19 22:41:09.512,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,100,3,8188,7933,255,1980,5500,1980,-1,34.886,-1,-1,-1,-1,73069946
2025-05-19 22:41:10.515,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,100,2,8188,7933,255,1980,5500,1980,-1,35.046,-1,-1,-1,-1,73177770
2025-05-19 22:41:11.522,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,95,49,8188,7933,255,2025,7000,2025,-1,29.849,-1,-1,-1,-1,73303796
2025-05-19 22:41:12.525,0,NVIDIA GeForce RTX 4060 Laptop GPU,54,95,20,8188,7933,255,1410,5500,1410,-1,33.31,-1,-1,-1,-1,73376916
2025-05-19 22:41:13.528,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,99,20,8188,7933,255,1440,5500,1440,-1,34.996,-1,-1,-1,-1,73443281
2025-05-19 22:41:14.532,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,100,2,8188,7933,255,1965,5500,1965,-1,34.894,-1,-1,-1,-1,73515603
2025-05-19 22:41:15.535,0,NVIDIA GeForce RTX 4060 Laptop GPU,52,100,2,8188,7933,255,2025,5500,2025,-1,32.315,-1,-1,-1,-1,73603248
2025-05-19 22:41:16.541,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,95,20,8188,7933,255,1455,5500,1455,-1,32.752,-1,-1,-1,-1,73706180
2025-05-19 22:41:17.545,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,98,20,8188,7933,255,1440,5500,1440,-1,34.962,-1,-1,-1,-1,73826008
2025-05-19 22:41:18.548,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,100,2,8188,7933,255,1965,5500,1965,-1,34.801,-1,-1,-1,-1,73964979
2025-05-19 22:41:19.552,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,100,2,8188,7933,255,2025,5500,2025,-1,31.955,-1,-1,-1,-1,74074513
2025-05-19 22:41:20.559,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,98,20,8188,7933,255,1470,5500,1470,-1,33.0,-1,-1,-1,-1,74156879
2025-05-19 22:41:21.563,0,NVIDIA GeForce RTX 4060 Laptop GPU,55,99,20,8188,7933,255,1440,5500,1440,-1,34.924,-1,-1,-1,-1,74262954
2025-05-19 22:41:22.566,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,100,2,8188,7933,255,1965,5500,1965,-1,34.712,-1,-1,-1,-1,74392360
2025-05-19 22:41:23.570,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,61,40,8188,7933,255,1650,5500,1650,-1,32.106,-1,-1,-1,-1,74525694
2025-05-19 22:41:24.578,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,98,20,8188,7933,255,1425,5500,1425,-1,33.758,-1,-1,-1,-1,74620065
2025-05-19 22:41:25.583,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,99,20,8188,7933,255,1395,5500,1395,-1,34.848,-1,-1,-1,-1,74730253
2025-05-19 22:41:26.586,0,NVIDIA GeForce RTX 4060 Laptop GPU,56,100,2,8188,7933,255,1965,5500,1965,-1,34.585,-1,-1,-1,-1,74855970
